CI0036ea83 01 sendir,1:1,1,37000,1,1,334,164,22,61,22,20,22,20,22,20,23,19,22,20,22,61,22,20,22,20,23,60,22,61,22,61,22,20,22,20,22,20,23,20,22,20,22,20,22,20,22,20,22,20,22,20,23,19,22,20,23,20,22,20,22,20,22,20,22,61,22,20,22,61,22,20,22,20,22,61,23,20,22,3700
CI0036ea83 02 sendir,1:1,1,37000,1,1,336,163,22,61,22,21,22,20,22,61,22,21,22,20,22,61,22,21,22,20,22,61,22,61,22,61,22,21,22,20,22,21,22,20,22,20,22,20,22,21,22,21,22,20,22,20,22,21,22,20,22,21,22,20,22,21,22,20,22,61,22,20,22,61,22,20,22,20,22,61,22,20,22,3700
CI0036ea83 1d sendir,1:1,1,37000,1,1,334,164,22,61,21,21,21,22,21,62,22,21,22,21,21,62,22,21,21,62,21,22,21,62,22,61,22,21,22,21,21,22,21,21,21,21,21,21,22,21,22,21,21,22,21,21,22,21,21,21,22,21,21,21,22,21,21,21,22,61,21,21,22,61,21,21,22,21,21,62,22,21,21,3700
CI0036ea83 1c sendir,1:1,1,37000,1,1,334,164,23,60,22,20,22,20,22,61,22,20,22,20,23,60,22,20,22,20,22,21,22,61,22,61,22,20,23,20,22,20,22,20,22,20,22,20,22,20,22,20,22,20,22,20,23,20,22,20,22,20,22,20,23,20,22,20,22,61,22,20,22,61,23,20,22,20,22,61,23,20,22,3700
CI0036ea83 1b sendir,1:1,1,37000,1,1,335,163,22,61,22,21,22,21,22,61,22,21,22,21,22,61,22,21,22,61,22,61,22,21,22,61,22,21,22,21,22,21,22,21,23,20,22,21,22,21,22,21,23,20,22,21,22,21,22,21,22,21,22,20,23,20,22,21,22,61,23,20,23,60,22,21,22,21,22,61,22,21,22,3700
CI0036ea83 1a sendir,1:1,1,37000,1,1,333,165,21,62,21,22,20,22,22,61,21,21,21,22,21,62,21,21,20,22,21,61,21,22,21,61,21,22,21,22,21,22,20,23,22,21,20,22,21,22,22,21,22,21,21,21,21,22,21,21,22,21,21,22,21,22,21,21,21,62,21,22,21,62,21,22,21,22,21,62,22,21,22,3700
CI0036ea83 19 sendir,1:1,1,37000,1,1,335,163,23,60,23,20,23,20,23,60,23,20,22,21,23,60,23,20,23,60,23,20,22,21,23,60,23,20,22,21,23,20,21,22,22,21,23,19,23,20,22,20,23,21,22,21,22,21,22,20,22,21,22,21,23,20,22,21,22,61,23,20,22,61,22,20,22,21,22,61,22,20,22,3700
CI0036ea83 18 sendir,1:1,1,37000,1,1,333,165,21,62,21,21,22,21,21,62,21,21,21,22,22,61,22,21,22,21,21,22,21,22,22,61,22,21,21,21,22,21,22,21,22,21,21,22,21,22,22,21,22,21,21,22,22,21,21,22,22,21,22,21,21,22,22,21,22,61,22,21,22,61,22,21,22,21,21,61,22,21,22,3700
CI0036ea83 17 sendir,1:1,1,37000,1,1,333,165,21,62,21,22,21,21,21,62,20,22,22,21,21,62,23,20,21,62,21,62,21,62,21,22,21,22,21,22,22,21,21,22,21,22,21,22,24,19,21,22,21,21,21,21,21,21,21,22,21,22,21,22,21,22,21,21,20,62,21,21,21,62,21,22,22,21,21,62,22,21,21,3700
CI0036ea83 16 sendir,1:1,1,37000,1,1,335,163,23,60,21,22,23,20,21,62,23,20,22,21,21,62,23,20,23,20,21,62,21,62,21,22,21,22,23,20,23,20,23,20,21,22,23,20,21,22,21,22,23,20,23,20,23,20,21,22,23,20,23,20,21,22,23,20,23,60,23,20,23,60,21,21,23,20,23,60,23,20,21,3700
CI0036ea83 15 sendir,1:1,1,37000,1,1,334,164,22,61,22,21,22,21,22,61,21,22,22,21,21,62,22,21,22,61,22,21,22,61,22,21,22,21,22,21,22,21,22,21,21,22,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,61,22,21,22,61,22,21,22,21,21,61,22,21,22,3700
CI0036ea83 14 sendir,1:1,1,37000,1,1,334,164,21,62,21,22,21,21,22,61,22,21,22,21,20,62,21,22,21,22,21,22,21,62,22,21,22,21,21,22,21,22,21,22,22,21,23,20,22,21,21,22,20,22,22,21,24,19,21,22,22,21,21,22,21,21,21,22,22,61,21,22,22,61,21,22,21,22,21,62,21,21,21,3700
CI0036ea83 13 sendir,1:1,1,37000,1,1,333,165,21,62,21,22,21,22,21,62,21,22,22,21,21,62,21,22,22,61,22,61,21,22,21,22,21,21,22,21,22,21,21,22,21,22,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,61,22,21,22,61,22,21,22,21,22,61,22,21,22,3700
CI0036ea83 12 sendir,1:1,1,37000,1,1,335,163,23,60,21,22,21,22,21,62,21,22,21,22,21,62,21,22,23,20,21,62,21,22,21,22,21,22,21,22,21,22,23,20,21,22,21,22,23,20,23,20,23,20,22,20,23,20,23,20,21,22,21,22,21,22,23,20,21,62,21,22,21,62,21,22,23,20,21,62,21,22,21,3700

